Time (s),Channel 1 (V),Channel 2 (V)
-9.677499999999999e-05,0.01104949526564447,0.00432123449048237
-9.674999999999999e-05,0.009740905855998841,0.003312474130879138
-9.672500000000001e-05,0.008907019465663834,0.00274308146185543
-9.670000000000001e-05,0.007311827449008352,0.0008313534027346347
-9.667500000000001e-05,0.006032184177447549,-0.0004363834706768287
-9.665e-05,0.00547758331444735,-0.001508401715600869
-9.6625e-05,0.004853385753739325,-0.002217693380232351
-9.66e-05,0.004910475105287903,-0.002413787995269331
-9.6575e-05,0.004330301314150835,-0.002847897503571087
-9.655e-05,0.004375374592329411,-0.00308931642321698
-9.6525e-05,0.003707883748679598,-0.003646235168081439
-9.65e-05,0.003434391155091106,-0.003792337497341897
-9.6475e-05,0.003510362185676338,-0.003681280136693614
-9.645e-05,0.003512212513151273,-0.003615159835247332
-9.6425e-05,0.003777836529665007,-0.003657725127439072
-9.64e-05,0.003726268258811245,-0.003182226581165527
-9.6375e-05,0.003953467709982832,-0.003008156956040063
-9.635e-05,0.004741944111814268,-0.002848877024087751
-9.6325e-05,0.00509685953732248,-0.002322722215789093
-9.63e-05,0.005370068485627174,-0.002161206808247479
-9.6275e-05,0.006028952053126079,-0.001433562318642035
-9.624999999999999e-05,0.00682557857156044,-0.0009110790827095444
-9.622499999999999e-05,0.007037440751577256,-0.0003143131706442479
-9.619999999999999e-05,0.007902693424948683,0.0004090597680576848
-9.617500000000001e-05,0.009212370878529039,0.001587987373860827
-9.615000000000001e-05,0.01065259423144268,0.002659666371661019
-9.612500000000001e-05,0.01103220448498934,0.003259385363275993
-9.61e-05,0.01150026700390998,0.004149379600947837
-9.6075e-05,0.01282635334768805,0.00523392450888583
-9.605e-05,0.01399361559973509,0.006516416113757261
-9.6025e-05,0.01540339162137207,0.007708488730826579
-9.6e-05,0.01588139288573051,0.008300896872849796
-9.5975e-05,0.01606174116924237,0.009064981244132284
-9.595e-05,0.01725379006027282,0.009820561327033078
-9.5925e-05,0.01732998387980404,0.01044830657536642
-9.59e-05,0.01695909882472441,0.009982967369382041
-9.5875e-05,0.0162745351461269,0.009266535219435471
-9.585e-05,0.01617596619896346,0.009376248331873187
-9.5825e-05,0.01581450292631366,0.00907936324818537
-9.58e-05,0.01521660246310478,0.008684120201424995
-9.5775e-05,0.01480648254791531,0.007703886525083867
-9.575e-05,0.01246459379522065,0.006071231149788978
-9.5725e-05,0.01212822102209215,0.005575252150946144
-9.57e-05,0.01090064761237766,0.00423070528440117
-9.567499999999999e-05,0.01002573036295248,0.003133301280896378
-9.564999999999999e-05,0.00875899179363898,0.002198239025743444
-9.562499999999999e-05,0.007313690411016433,0.0006720942107802155
-9.560000000000001e-05,0.007465375148848375,0.0004876030325232692
-9.557500000000001e-05,0.006919829666797906,-0.0002097130604921089
-9.555000000000001e-05,0.006571075682272585,-0.0005330404575587599
-9.5525e-05,0.006436968739589053,-0.0005571504099251363
-9.55e-05,0.005943892791803304,-0.0009946716480361576
-9.5475e-05,0.005985028306947696,-0.001335549824693032
-9.545e-05,0.006006726012992692,-0.001557317595437562
-9.5425e-05,0.006667591728269173,-0.001096055280653834
-9.54e-05,0.006218571557540012,-0.001349451549630116
-9.5375e-05,0.006255414910977152,-0.001273731591577662
-9.535e-05,0.006524360125275647,-0.0009703631842523052
-9.5325e-05,0.00692538612418736,-0.0007424608181364519
-9.53e-05,0.007846763502451176,0.0002355563449000252
-9.5275e-05,0.008521996577837747,0.0009703463566774088
-9.525e-05,0.008565322921142968,0.001384576576090552
-9.5225e-05,0.00939613090731849,0.001841087357139922
-9.52e-05,0.01003439112529648,0.002593364447082521
-9.5175e-05,0.01102176646489089,0.00341365599293693
-9.515e-05,0.01200478647010905,0.004318143045512813
-9.512499999999999e-05,0.0127130422159118,0.004989769687107174
-9.509999999999999e-05,0.01390185098074978,0.006248583620445671
-9.507499999999999e-05,0.01481241804131902,0.007279938727357268
-9.505000000000001e-05,0.0154043470027026,0.008159026688495191
-9.502500000000001e-05,0.01711012067068236,0.009351791428954245
-9.500000000000001e-05,0.01853921952716194,0.01082312753783995
-9.4975e-05,0.01940622524209745,0.01201469350636617
-9.495e-05,0.02002064493709805,0.01261810658805984
-9.4925e-05,0.02137282348835214,0.0135906655759729
-9.49e-05,0.02221736100125644,0.01464153465150788
-9.4875e-05,0.02249553216271088,0.01465119060239662
-9.485e-05,0.02201274830615821,0.01488018626273706
-9.4825e-05,0.02165231390571081,0.01460440057244107
-9.48e-05,0.02123003030368146,0.01435036314121492
-9.4775e-05,0.02098542615047438,0.01423388227086985
-9.475e-05,0.02048538036211813,0.01372177258978597
-9.4725e-05,0.01908356388619926,0.01257857437255567
-9.47e-05,0.01714847385090931,0.01074832013973647
-9.4675e-05,0.01615247165163662,0.009628759002898975
-9.465e-05,0.01518221231498038,0.008352764350807184
-9.4625e-05,0.01365324231205452,0.007250535927286389
-9.46e-05,0.01250015769153503,0.005549866392365384
-9.457499999999999e-05,0.011491980434342,0.004448536307080074
-9.454999999999999e-05,0.01081240150047928,0.003697361399932773
-9.452499999999999e-05,0.01024012934678049,0.00318093009566215
-9.450000000000001e-05,0.009842083202665747,0.003122958243474649
-9.447500000000001e-05,0.009820447195260639,0.002537573257630461
-9.445000000000001e-05,0.009409421383997734,0.002141249360644541
-9.4425e-05,0.008875077258462703,0.001655911462635368
-9.44e-05,0.009296830631223614,0.001572336674450628
-9.4375e-05,0.009205385034216329,0.002010931948215887
-9.435e-05,0.00961067245080305,0.001997823972662993
-9.4325e-05,0.009848818672634079,0.002149996899584066
-9.43e-05,0.009823042328503041,0.002610393467559053
-9.4275e-05,0.01035392817156159,0.003066523225201152
-9.425e-05,0.01093774934203101,0.003246806850264933
-9.4225e-05,0.01103297645500448,0.0037697742170275
-9.42e-05,0.01175135920079865,0.003871693830472357
-9.4175e-05,0.01224112595360675,0.004318076084945126
-9.415e-05,0.01274750290684991,0.005212530903796165
-9.4125e-05,0.01345747694924939,0.005829508537302919
-9.41e-05,0.01487180982607673,0.007078038394073038
-9.4075e-05,0.01533715065584139,0.007610058474043786
-9.405e-05,0.01596261103820268,0.008601074579496389
-9.4025e-05,0.01708031622660126,0.009452954921299057
-9.399999999999999e-05,0.01817422279655956,0.01036385537408782
-9.397499999999999e-05,0.01954194793107886,0.01134517464122586
-9.394999999999999e-05,0.02062163496497224,0.01236826130317118
-9.392500000000001e-05,0.02109869874692233,0.01330033759106092
-9.390000000000001e-05,0.02171776015906551,0.01408807059787887
-9.3875e-05,0.02277231900041204,0.01498810180984671
-9.385e-05,0.02415717656276297,0.01627111902554589
-9.3825e-05,0.02385705500458754,0.01621273207709583
-9.38e-05,0.02252541325629782,0.01560027546705062
-9.3775e-05,0.02241979781905884,0.01567814023726887
-9.375e-05,0.02197991431144678,0.01492485133166855
-9.3725e-05,0.02157240995532936,0.01427224326901092
-9.37e-05,0.02046898979199561,0.01366815821135481
-9.3675e-05,0.01960914680484661,0.01275560952122963
-9.365e-05,0.01882936927953612,0.01160496564441559
-9.3625e-05,0.01737808165479865,0.01078141465960055
-9.36e-05,0.01670666441919509,0.009783290660259607
-9.3575e-05,0.01543866134362447,0.008317806193904436
-9.355e-05,0.01426818023351646,0.007072001572981964
-9.3525e-05,0.01396118338319847,0.00603790019393812
-9.35e-05,0.01341660402183247,0.006135399521058674
-9.3475e-05,0.01313254643108083,0.005463430965769139
-9.344999999999999e-05,0.012539905092566,0.004939475189918975
-9.342499999999999e-05,0.01241775505151895,0.004946639674375265
-9.339999999999999e-05,0.01193250135418441,0.00426760381633836
-9.337500000000001e-05,0.01229342639569403,0.004408031681915931
-9.335000000000001e-05,0.01235405046864871,0.004514970967651599
-9.332500000000001e-05,0.01236052103455859,0.004533915771449647
-9.33e-05,0.01247619040206852,0.004755711096764068
-9.3275e-05,0.01264502188687102,0.005059651928057422
-9.325e-05,0.0127102752530097,0.005432169565516871
-9.3225e-05,0.0133071754822928,0.00575568895571565
-9.32e-05,0.01401211361009536,0.006354669899657115
-9.3175e-05,0.01446765151566055,0.006789301759643953
-9.315e-05,0.01510602291753599,0.007651629135148274
